Loss,Labels,Recompute_every,use_sigmoid,paths_to_evaluate_list,No_reinsert_avg,No_reinsert_std,margin_of_error,Reinsert_avg,Reinsert_std,margin_of_error
CE,probabilities,step,True,1000,253.0,18.457157599876172,45.85012124500342,191.66666666666666,37.03451843288307,91.99884387449748
CE,probabilities,step,False,1000,277.3333333333333,2.357022603955158,5.855168737860412,120.66666666666667,66.74495403316185,165.80365738076495
CE,normalized_probabilities,step,True,1000,173.33333333333334,41.507696742759514,103.11083480530746,48.0,26.166135875720485,65.000284898855
CE,normalized_probabilities,step,False,1000,191.66666666666666,68.74752520798275,170.77831995654006,106.66666666666667,31.930480039541457,79.31970961953314
CE,keystone,step,True,1000,278.0,1.4142135623730951,3.513101242716248,132.0,67.47345156924068,167.61334558303312
CE,keystone,step,False,1000,183.66666666666666,86.81525723563163,215.6610544516657,66.66666666666667,53.26871084938658,132.32681347564534
CE,keystone,no_keystone,True,1000,237.33333333333334,29.93697082575694,74.36755820291064,143.0,24.097026095903757,59.86033126512454
CE,keystone,no_keystone,False,1000,198.0,36.742346141747674,91.27304766776855,102.33333333333333,51.577342139957366,128.1252206801298
CE,normalized_keystone,step,True,1000,267.6666666666667,16.027753706895076,39.8151474174508,137.33333333333334,90.41509215218933,224.60354012385147
CE,normalized_keystone,step,False,1000,277.0,1.4142135623730951,3.513101242716248,162.33333333333334,90.2194854538395,224.11762614781568
CE,normalized_keystone,no_keystone,True,1000,227.66666666666666,72.59629620181889,180.33919712610071,46.333333333333336,22.395436042987765,55.633347244789064
CE,normalized_keystone,no_keystone,False,1000,240.0,55.154328932550705,137.01094846593364,62.333333333333336,42.96768811819205,106.73765443980471
